POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
0,(I),29,37.1803,39.545,40.234,30904,46
16,(B),33,35.2623,39.9927,40.1638,4448,48
8,(B),35,34.3208,40.0013,40.6164,2440,27
4,(B),38,33.8261,39.9834,40.4808,744,18
12,(B),38,33.5326,40.0067,40.5117,672,18
2,(B),40,33.5304,40.032,40.5582,616,17
6,(B),40,33.0333,40.0619,40.6488,528,16
10,(B),40,33.3244,39.9724,40.5543,304,14
14,(B),40,33.4468,40.0208,40.3043,536,15
1,(B),41,33.4569,39.874,40.5459,464,11
3,(B),41,33.5833,40.0669,40.6006,320,10
5,(B),41,33.1448,40.0498,40.5915,352,14
7,(B),41,32.7711,40.1187,40.6729,320,12
9,(B),41,32.5367,40.0603,40.578,400,12
11,(B),41,33.3447,40.1366,40.5724,256,10
13,(B),41,32.8642,40.042,40.4078,248,11
15,(B),41,33.8877,40.1515,40.4351,320,10
32,(B),33,34.5392,40.3933,40.2484,5976,36
24,(B),35,34.2184,40.3382,40.0699,2312,29
20,(B),38,33.0465,40.2279,40.0293,1000,18
28,(B),38,33.0303,40.3003,40.276,1200,23
18,(B),40,33.0275,40.3259,40.3266,328,15
22,(B),40,32.7454,40.3821,40.1236,536,16
26,(B),40,33.0819,40.4768,40.2704,408,21
30,(B),40,33.2046,40.3963,40.398,552,16
17,(B),41,33.6658,40.1767,40.2601,200,10
19,(B),41,32.6056,40.4375,40.2729,360,12
21,(B),41,32.9155,40.3308,40.1428,360,12
23,(B),41,32.7472,40.306,40.0564,200,10
25,(B),41,33.5586,40.3541,40.1346,264,12
27,(B),41,32.8082,40.3039,40.3552,448,18
29,(B),41,32.4414,40.4226,40.4545,328,14
31,(B),41,33.3043,40.3298,40.4053,328,15
48,(B),33,34.5569,40.2073,40.1601,4624,32
40,(B),35,34.0253,40.4764,40.3583,1768,25
36,(B),38,33.3893,40.4537,40.3211,640,18
44,(B),38,33.9085,40.4105,40.2778,352,14
34,(B),40,33.1923,40.4832,40.3438,448,15
38,(B),40,33.375,40.461,40.3546,288,13
42,(B),40,33.5603,40.5608,40.4071,280,13
46,(B),40,33.6642,40.3924,40.2682,216,12
33,(B),41,33.7862,40.4778,40.3784,200,9
35,(B),41,33.53,40.4855,40.4287,280,11
37,(B),41,33.225,40.4087,40.3101,200,9
39,(B),41,33.6243,40.4598,40.4206,280,10
41,(B),41,33.4848,40.5314,40.3393,232,11
43,(B),41,33.4723,40.5265,40.408,272,10
45,(B),41,33.8793,40.571,40.3251,216,10
47,(B),41,33.7706,40.3966,40.3911,248,10
64,(B),33,34.6037,40.0165,39.828,6072,34
56,(B),35,33.7683,40.3907,40.2094,2464,26
52,(B),38,33.6348,40.498,40.4613,664,16
60,(B),38,32.7532,40.0869,39.9789,1608,24
50,(B),40,33.8892,40.364,40.2874,312,12
54,(B),40,33.0073,40.424,40.3458,504,15
58,(B),40,32.5395,40.1661,40.1851,832,22
62,(B),40,33.1345,40.2811,39.9779,584,15
49,(B),41,34.2543,40.3369,40.1798,192,9
51,(B),41,33.2405,40.4523,40.3956,312,10
53,(B),41,33.2618,40.4801,40.4185,256,10
55,(B),41,33.0528,40.5426,40.3752,232,10
57,(B),41,32.4006,40.3009,40.276,408,13
59,(B),41,32.2097,40.1664,40.1128,240,11
61,(B),41,32.5487,40.3474,40.0905,240,10
63,(B),41,33.4946,40.2181,39.9676,280,10
80,(B),33,34.2627,40.4651,39.8578,6248,35
72,(B),35,33.6091,40.4051,39.9587,2616,28
68,(B),38,32.9131,40.3519,39.8278,1032,21
76,(B),38,33.1501,40.666,39.8811,1552,24
66,(B),40,32.8379,40.2943,39.8495,552,17
70,(B),40,32.6246,40.3735,39.8477,488,16
74,(B),40,32.7705,40.5534,40.0479,624,17
78,(B),40,32.8581,40.5829,39.9433,696,17
65,(B),41,33.6177,40.2943,40.0178,272,11
67,(B),41,32.8263,40.3178,39.8747,208,10
69,(B),41,32.4915,40.399,39.8774,216,10
71,(B),41,32.9106,40.3999,39.8997,272,11
73,(B),41,32.9215,40.5622,40.088,360,17
75,(B),41,32.7082,40.7205,40.0371,272,12
77,(B),41,32.8494,40.5564,39.8307,360,13
79,(B),41,33.2011,40.7027,40.0194,328,12
96,(B),33,34.2411,40.4631,40.2196,5712,33
88,(B),35,33.4983,40.2457,40.0776,3048,30
84,(B),38,32.9439,40.5222,40.2201,1320,22
92,(B),38,32.7372,40.5356,40.3487,840,18
82,(B),40,32.8782,40.7387,40.1154,776,24
86,(B),40,33.1099,40.3601,40.1846,640,17
90,(B),40,32.8156,40.5689,40.3873,392,15
94,(B),40,33.0144,40.5317,40.4774,632,15
81,(B),41,33.1324,40.6004,40.1012,384,13
83,(B),41,32.7493,40.6889,40.2423,352,13
85,(B),41,32.7309,40.5073,40.3571,344,13
87,(B),41,32.8939,40.3475,40.1885,328,11
89,(B),41,33.1659,40.4395,40.3479,264,9
91,(B),41,32.7964,40.4357,40.3372,352,12
93,(B),41,32.6827,40.4768,40.3906,392,11
95,(B),41,33.6978,40.5434,40.3148,256,9
112,(B),33,34.3377,40.6906,40.256,4848,31
104,(B),35,33.7517,40.5941,40.2223,1648,23
100,(B),38,33.279,40.6722,40.3618,480,16
108,(B),38,33.6306,40.7573,40.5187,560,16
98,(B),40,33.7378,40.6498,40.3887,248,13
102,(B),40,33.0527,40.6257,40.3076,288,13
106,(B),40,33.2917,40.6809,40.4218,344,13
110,(B),40,33.7733,40.7809,40.3899,312,13
97,(B),41,33.2542,40.5142,40.2641,256,9
99,(B),41,33.3627,40.7113,40.3961,248,9
101,(B),41,32.8613,40.7041,40.3636,232,9
103,(B),41,33.4927,40.6307,40.3049,184,9
105,(B),41,33.4981,40.6951,40.333,240,10
107,(B),41,33.4082,40.7181,40.4365,200,9
109,(B),41,33.6831,40.7508,40.4646,240,11
111,(B),41,33.2284,40.6556,40.3087,256,10
128,(B),33,34.1809,40.6976,40.0908,6680,35
120,(B),35,33.0744,40.6274,40.1067,2968,29
116,(B),38,32.6582,40.6653,40.1125,1184,22
124,(B),38,32.6535,40.3714,39.6407,1352,21
114,(B),40,32.8632,40.7561,40.3152,408,15
118,(B),40,32.6989,40.6802,40.1544,648,20
122,(B),40,32.2109,40.4911,39.7363,664,16
126,(B),40,32.7415,40.5114,39.9118,544,15
113,(B),41,33.5688,40.7606,40.3957,264,11
115,(B),41,32.7537,40.6969,40.1678,336,11
117,(B),41,32.2866,40.7103,40.047,320,13
119,(B),41,32.7342,40.7458,40.1417,320,11
121,(B),41,32.4565,40.5117,40.0233,448,12
123,(B),41,32.414,40.4054,39.834,384,12
125,(B),41,32.3582,40.5465,39.9284,368,11
127,(B),41,33.5094,40.6006,39.8892,344,10
144,(B),33,34.0627,40.596,40.3476,3400,28
136,(B),35,33.5879,40.6984,40.193,824,21
132,(B),38,33.2423,40.6739,40.0803,664,16
140,(B),38,33.3003,40.7183,40.3945,544,15
130,(B),40,33.0474,40.5897,40.1344,504,14
134,(B),40,33.0964,40.65,40.1419,288,13
138,(B),40,33.3943,40.5694,40.1185,456,13
142,(B),40,33.6787,40.7607,40.4705,288,12
129,(B),41,33.2021,40.6693,40.1701,264,10
131,(B),41,33.2422,40.6465,40.1505,200,9
133,(B),41,33.1962,40.6923,40.1071,184,9
135,(B),41,32.4508,40.6274,40.1298,352,11
137,(B),41,33.4819,40.6951,40.2472,256,10
139,(B),41,33.2507,40.6146,40.2649,208,10
141,(B),41,33.6238,40.7564,40.4802,200,9
143,(B),41,33.654,40.6845,40.3868,176,8
160,(B),33,34.1244,40.4125,40.5599,2072,25
152,(B),35,33.8985,40.6508,40.5708,648,17
148,(B),38,33.2966,40.6083,40.4733,320,14
156,(B),38,33.8092,40.5714,40.5415,304,13
146,(B),40,33.6693,40.6088,40.3168,232,12
150,(B),40,33.4351,40.6796,40.5018,232,12
154,(B),40,33.2847,40.5626,40.4476,328,12
158,(B),40,33.8174,40.4605,40.6152,248,13
145,(B),41,33.3117,40.6683,40.3626,176,8
147,(B),41,33.5282,40.6954,40.4043,264,11
149,(B),41,33.2584,40.6442,40.4855,256,13
