POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
0,(I),29,35.4658,44.5249,45.6044,100048,180
1,(B),41,32.2304,44.4653,45.5302,408,35
2,(B),40,30.2389,44.5142,45.5447,920,58
3,(B),41,29.7564,44.5103,45.5511,400,45
4,(B),38,30.0757,44.4519,45.4936,9184,109
5,(B),41,29.7181,44.3405,45.3168,384,38
6,(B),40,29.8703,44.2518,45.1791,880,61
7,(B),41,30.7277,44.1863,44.9394,384,35
8,(B),35,31.7432,43.9902,44.8715,27120,138
9,(B),41,30.6702,43.9803,44.8368,424,39
10,(B),40,29.6735,44.0302,44.8469,928,70
11,(B),41,29.7997,44.0283,44.8506,440,39
12,(B),38,29.9419,43.869,44.785,9672,162
13,(B),41,29.7917,44.029,44.7787,376,37
14,(B),40,29.9863,43.9403,44.7692,1112,59
15,(B),41,31.0922,43.9012,44.7282,456,35
16,(B),33,32.7714,43.8294,44.7597,42072,170
17,(B),41,31.0302,43.9014,44.6692,408,39
18,(B),40,29.7419,43.859,44.5808,896,56
19,(B),41,29.7127,43.771,44.5531,448,37
20,(B),38,29.9616,43.6822,44.574,11032,99
21,(B),41,29.6093,43.6679,44.6851,520,38
22,(B),40,29.5913,43.5746,44.537,1064,57
23,(B),41,30.4619,43.6135,44.5113,440,33
24,(B),35,31.6174,43.5712,44.5309,27776,146
25,(B),41,30.482,43.5889,44.5587,400,36
26,(B),40,29.5784,43.5367,44.5231,1096,58
27,(B),41,29.5275,43.6314,44.5673,496,39
28,(B),38,29.7738,43.5469,44.3532,10376,95
29,(B),41,29.4379,43.5477,44.3803,408,39
30,(B),40,29.5854,43.4843,44.3415,1432,60
31,(B),41,30.665,43.4071,44.2869,664,38
32,(B),33,32.5809,43.4203,44.1621,47184,171
33,(B),41,30.7372,43.3143,44.231,464,38
34,(B),40,29.7616,43.3484,44.191,1560,60
35,(B),41,29.5114,43.3374,44.2015,504,60
36,(B),38,29.7994,43.3176,44.1239,12088,100
37,(B),41,29.3388,43.3087,44.1594,528,39
38,(B),40,29.2186,43.2285,44.0813,1424,58
39,(B),41,30.0985,43.2518,44.0923,600,38
40,(B),35,31.467,43.1369,44.1812,31064,152
41,(B),41,30.1132,43.1689,43.9845,488,40
42,(B),40,29.4899,43.1491,44.136,1552,65
43,(B),41,29.339,43.2288,43.9845,448,39
44,(B),38,29.7608,43.1369,44.14,12448,111
45,(B),41,29.4511,43.3041,44.198,624,48
46,(B),40,29.5193,43.1192,44.0382,1752,60
47,(B),41,30.3877,43.0757,44.0104,760,43
48,(B),33,32.7205,43.0209,43.9779,48016,183
49,(B),41,30.6824,43.1337,43.8924,456,38
50,(B),40,29.6375,43.1241,43.9589,1544,65
51,(B),41,29.5321,43.1677,44.0098,856,51
52,(B),38,29.695,43.0833,43.9329,13184,107
53,(B),41,29.0626,43.1413,44.0351,736,44
54,(B),40,29.0776,43.1006,43.9124,1672,62
55,(B),41,29.8141,43.0837,43.8921,616,39
