POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
0,I,29,35.8411,36.3872,38.7699,819504,1194
1,B,41,32.1881,35.2252,38.5742,1328,280
2,B,40,30.4038,34.1945,38.2217,13752,592
3,B,41,30.2255,33.7269,38.0131,1424,313
4,B,38,30.5724,33.545,37.8688,157432,1034
5,B,41,30.1318,33.4417,37.7728,1200,290
6,B,40,30.0127,33.5491,37.7649,16576,557
7,B,41,31.1723,34.1218,37.8198,1216,279
8,B,35,32.182,34.4239,37.7784,380336,1384
9,B,41,30.7876,33.9961,37.7884,1616,297
10,B,40,30.0245,33.5196,37.698,15552,595
11,B,41,29.9382,33.3397,37.6027,1720,309
12,B,38,30.5105,33.4576,37.68,162368,1029
13,B,41,29.9824,33.4935,37.757,1904,306
14,B,40,30.1292,33.8107,37.8587,17720,573
15,B,41,31.2304,34.4222,37.9956,1456,263
16,B,33,33.4659,35.1088,38.0477,528912,1590
17,B,41,31.3971,34.496,37.9907,1344,286
18,B,40,30.2579,33.8078,37.8105,15368,595
19,B,41,30.2282,33.5788,37.6943,1696,290
20,B,38,30.4776,33.4528,37.5586,163496,1051
21,B,41,29.9454,33.415,37.6072,1816,313
22,B,40,30.0106,33.5331,37.5722,17872,566
23,B,41,30.8046,33.9761,37.6346,1480,277
24,B,35,32.2379,34.3723,37.6113,378616,1417
25,B,41,30.8953,33.9826,37.6535,1168,276
26,B,40,29.8975,33.4377,37.5534,17592,608
27,B,41,29.8328,33.3063,37.5426,1728,315
28,B,38,30.4576,33.3594,37.5306,164216,1072
29,B,41,29.9234,33.4574,37.6234,2472,304
30,B,40,30.1891,33.7642,37.7603,18464,576
31,B,41,31.1469,34.4173,37.8867,2032,270
32,B,33,33.409,35.1098,37.9696,533240,1595
33,B,41,31.3656,34.4932,37.9047,1520,262
34,B,40,30.1929,33.7816,37.7903,16584,602
35,B,41,30.0137,33.4698,37.663,1784,290
36,B,38,30.6029,33.4877,37.6063,156816,1045
37,B,41,29.6916,33.316,37.5486,1960,294
38,B,40,29.9183,33.5318,37.6195,17376,550
39,B,41,30.8692,33.9972,37.6817,1968,271
40,B,35,32.2012,34.4175,37.7175,377232,1398
41,B,41,30.9414,34.0269,37.7259,1968,276
42,B,40,29.9317,33.4881,37.6076,20272,573
43,B,41,30.0529,33.4101,37.6198,2016,300
44,B,38,30.4888,33.4244,37.615,163728,1049
45,B,41,30.0241,33.4739,37.6977,2096,296
46,B,40,30.1474,33.7597,37.824,19176,535
47,B,41,31.2245,34.4585,37.9867,1840,254
48,B,33,33.3873,35.1011,38.0087,529736,1582
49,B,41,31.3393,34.4784,38.0054,1648,271
50,B,40,30.1844,33.7545,37.8087,16968,557
51,B,41,30.1803,33.5204,37.6883,1840,296
52,B,38,30.4391,33.4358,37.6012,163936,1018
53,B,41,30.1369,33.4433,37.6344,2376,289
54,B,40,29.8926,33.5078,37.637,20512,546
55,B,41,30.8339,34.0215,37.7168,2000,274
56,B,35,32.2076,34.4426,37.7428,381480,1353
57,B,41,30.677,33.9825,37.7021,2312,416
58,B,40,29.9668,33.5699,37.6142,21784,574
59,B,41,29.7902,33.323,37.5579,3416,309
60,B,38,30.4971,33.4324,37.5869,165248,1023
61,B,41,30.0423,33.5012,37.6832,3896,310
62,B,40,29.9972,33.7524,37.7858,24352,549
63,B,41,31.2472,34.4635,37.9812,4408,275
64,B,33,33.3962,35.1043,38.0099,532800,1543
65,B,41,31.2434,34.4873,38.0034,4776,291
66,B,40,30.0212,33.7735,37.8097,22768,572
67,B,41,29.8973,33.4629,37.646,5696,311
68,B,38,30.4113,33.4108,37.5658,163832,1023
69,B,41,29.6685,33.2795,37.5268,6792,316
70,B,40,30.0198,33.5263,37.597,25728,566
71,B,41,30.3864,33.8042,37.6017,7320,305
72,B,35,32.1734,34.3487,37.6869,383120,1381
73,B,41,30.6449,33.948,37.6891,7336,316
74,B,40,29.9036,33.4473,37.5815,29760,597
75,B,41,29.7978,33.3485,37.5526,12800,348
76,B,38,30.4151,33.4206,37.5281,170592,1030
77,B,41,29.6489,33.4114,37.5853,15760,362
78,B,40,29.9618,33.6943,37.7239,40360,598
79,B,41,30.6795,34.2897,37.8908,17416,343
80,B,33,33.379,35.0725,38.025,537256,1553
81,B,41,30.6862,34.3217,37.9814,16152,502
82,B,40,29.949,33.7397,37.8239,42624,630
83,B,41,29.5567,33.4448,37.6661,20024,398
84,B,38,30.2491,33.3892,37.5884,180864,1049
85,B,41,29.2439,33.2519,37.4314,22208,409
86,B,40,29.2216,33.2593,37.3063,57760,680
87,B,41,29.6001,33.7052,37.4323,25032,405
88,B,35,31.8333,34.2919,37.5701,403208,1419
89,B,41,29.6057,33.7443,37.4783,27328,431
90,B,40,29.1797,33.2972,37.4469,60568,702
91,B,41,28.9011,33.1369,37.3552,32800,465
92,B,38,29.8334,33.2271,37.2896,201448,1078
93,B,41,28.791,33.1454,37.3291,37584,574
94,B,40,28.9737,33.3565,37.4791,76136,729
95,B,41,29.2637,33.8449,37.7195,38856,471
96,B,33,32.6682,34.7453,37.874,594144,1641
97,B,41,29.2286,33.878,37.7492,38112,486
98,B,40,28.8023,33.3197,37.516,81664,774
99,B,41,28.4741,33.2147,37.5068,39768,534
100,B,38,29.3836,33.2001,37.4237,219072,1145
101,B,41,28.2745,33.0605,37.3906,38504,502
102,B,40,28.4904,33.1131,37.3524,81488,764
103,B,41,28.5151,33.4073,37.4307,36976,483
104,B,35,31.0752,34.0109,37.5634,443152,1506
105,B,41,28.3056,33.3927,37.4353,39128,494
106,B,40,28.1683,33.1115,37.3159,85032,798
107,B,41,27.7686,32.9791,37.2644,42016,576
108,B,38,28.974,33.1156,37.2491,234688,1154
109,B,41,27.8538,33.1072,37.4013,39112,506
110,B,40,28.0272,33.2129,37.4481,88864,797
111,B,41,28.3526,33.6264,37.5682,38872,476
112,B,33,32.1246,34.4752,37.6931,646080,1709
